Fecha,Vivienda,Tipo,kWh
2026-08-10,Casa-02,CONSUME,4.98
2026-08-10,Casa-03,APORTA,6.16
2026-08-10,Casa-03,CONSUME,3.94
2026-08-10,Casa-04,APORTA,8.07
2026-08-10,Casa-04,CONSUME,3.44
2026-08-10,Casa-05,APORTA,7.13
2026-08-10,Casa-05,CONSUME,2.12
2026-08-11,Casa-01,APORTA,6.62
2026-08-11,Casa-01,CONSUME,2.58
2026-08-11,Casa-02,APORTA,5.06
2026-08-11,Casa-02,CONSUME,4.32
2026-08-11,Casa-03,APORTA,7.65
2026-08-11,Casa-03,CONSUME,2.66
2026-08-11,Casa-04,APORTA,7.89
2026-08-11,Casa-04,CONSUME,3.86
2026-08-11,Casa-05,APORTA,7.66
2026-08-11,Casa-05,CONSUME,4.75
2026-08-12,Casa-01,APORTA,6.07
2026-08-12,Casa-01,CONSUME,5.00
2026-08-12,Casa-02,APORTA,2.97
2026-08-12,Casa-02,CONSUME,3.85
2026-08-12,Casa-03,APORTA,3.79
2026-08-12,Casa-03,CONSUME,3.94
2026-08-12,Casa-04,APORTA,8.40
2026-08-12,Casa-04,CONSUME,2.64
2026-08-12,Casa-05,APORTA,7.45
2026-08-12,Casa-05,CONSUME,4.11
2026-08-13,Casa-01,APORTA,4.88
2026-08-13,Casa-01,CONSUME,4.37
2026-08-13,Casa-02,APORTA,8.27
2026-08-13,Casa-02,CONSUME,2.10
2026-08-13,Casa-03,APORTA,5.34
2026-08-13,Casa-03,CONSUME,5.50
2026-08-13,Casa-04,APORTA,5.61
2026-08-13,Casa-04,CONSUME,4.17
2026-08-13,Casa-05,APORTA,6.37
2026-08-13,Casa-05,CONSUME,3.84
2026-08-14,Casa-01,APORTA,4.87
2026-08-14,Casa-01,CONSUME,5.47
2026-08-14,Casa-02,APORTA,5.20
2026-08-14,Casa-02,CONSUME,5.30
2026-08-14,Casa-03,APORTA,6.89
2026-08-14,Casa-03,CONSUME,3.95
2026-08-14,Casa-04,APORTA,5.81
2026-08-14,Casa-04,CONSUME,2.55
2026-08-14,Casa-05,APORTA,7.34
2026-08-14,Casa-05,CONSUME,1.96
2026-08-15,Casa-01,APORTA,7.43
2026-08-15,Casa-01,CONSUME,2.95
2026-08-15,Casa-02,APORTA,5.66
2026-08-15,Casa-02,CONSUME,5.18
2026-08-15,Casa-03,APORTA,7.96
2026-08-15,Casa-03,CONSUME,5.31
2026-08-15,Casa-04,APORTA,7.94
2026-08-15,Casa-04,CONSUME,4.16
2026-08-15,Casa-05,APORTA,2.68
2026-08-15,Casa-05,CONSUME,4.28
