Fecha,Vivienda,Tipo,kWh
2026-08-25,Casa-03,APORTA,7.16
2026-08-25,Casa-03,CONSUME,4.13
2026-08-25,Casa-04,APORTA,7.62
2026-08-25,Casa-04,CONSUME,3.05
2026-08-25,Casa-05,APORTA,5.77
2026-08-25,Casa-05,CONSUME,1.90
2026-08-26,Casa-01,APORTA,6.56
2026-08-26,Casa-01,CONSUME,4.95
2026-08-26,Casa-02,APORTA,7.59
2026-08-26,Casa-02,CONSUME,4.99
2026-08-26,Casa-03,APORTA,3.84
2026-08-26,Casa-03,CONSUME,3.03
2026-08-26,Casa-04,APORTA,2.83
2026-08-26,Casa-04,CONSUME,3.88
2026-08-26,Casa-05,APORTA,7.09
2026-08-26,Casa-05,CONSUME,3.06
2026-08-27,Casa-01,APORTA,2.57
2026-08-27,Casa-01,CONSUME,1.94
2026-08-27,Casa-02,APORTA,4.64
2026-08-27,Casa-02,CONSUME,2.21
2026-08-27,Casa-03,APORTA,3.11
2026-08-27,Casa-03,CONSUME,3.49
2026-08-27,Casa-04,APORTA,8.14
2026-08-27,Casa-04,CONSUME,3.52
2026-08-27,Casa-05,APORTA,2.51
2026-08-27,Casa-05,CONSUME,3.07
2026-08-28,Casa-01,APORTA,4.37
2026-08-28,Casa-01,CONSUME,3.56
2026-08-28,Casa-02,APORTA,2.88
2026-08-28,Casa-02,CONSUME,5.03
2026-08-28,Casa-03,APORTA,4.68
2026-08-28,Casa-03,CONSUME,3.13
2026-08-28,Casa-04,APORTA,7.56
2026-08-28,Casa-04,CONSUME,3.74
2026-08-28,Casa-05,APORTA,3.19
2026-08-28,Casa-05,CONSUME,2.05
2026-08-29,Casa-01,APORTA,5.74
2026-08-29,Casa-01,CONSUME,3.64
2026-08-29,Casa-02,APORTA,4.00
2026-08-29,Casa-02,CONSUME,3.80
2026-08-29,Casa-03,APORTA,3.06
2026-08-29,Casa-03,CONSUME,4.62
2026-08-29,Casa-04,APORTA,7.53
2026-08-29,Casa-04,CONSUME,1.90
2026-08-29,Casa-05,APORTA,7.51
2026-08-29,Casa-05,CONSUME,5.04
2026-08-30,Casa-01,APORTA,6.62
2026-08-30,Casa-01,CONSUME,2.66
2026-08-30,Casa-02,APORTA,2.74
2026-08-30,Casa-02,CONSUME,4.96
2026-08-30,Casa-03,APORTA,3.11
2026-08-30,Casa-03,CONSUME,4.63
2026-08-30,Casa-04,APORTA,8.40
2026-08-30,Casa-04,CONSUME,3.95
2026-08-30,Casa-05,APORTA,4.92
2026-08-30,Casa-05,CONSUME,5.37
